SENSOR_PROTOCOL_IDENT,HEALTH_PROTOCOL_TYPE_IDENT,SENSOR_PROTOCOL_CODE,DESCRIPTION,LOCALIZED_DESCRIPTION,DATA_TYPE,UOM_CODE,ACTIVE,BITLENGTH,SLOPE,OFFSET,NAME,EXPRESSION,KALMAN_Q,KALMAN_R,APPLY_FILTER,CREATED_TIMESTAMP,CREATED_LOGIN_NAME,LAST_UPDATED_TIMESTAMP,LAST_UPDATED_LOGIN_NAME,ALIAS,GROUP,ACCESS
11,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00012,Engine Oil Temperature of Left Engine,NULL,?,C,Y,16,1,-273,EngOilTemp (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00046,Engine Speed of Left Engine,NULL,?,RPM,Y,16,1,0,EngSpeed (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00016,Boost Pressure1 of Left Engine (Left Bank),NULL,?,KPA,Y,8,1,0,Boost Pressure1 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00017,Boost Pressure2 of Left Engine (Right Bank),NULL,?,KPA,Y,8,1,0,Boost Pressure2 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00120,Exhaust Temperature #1 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #1 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00121,Exhaust Temperature #2 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #2 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00122,Exhaust Temperature #3 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #3 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00060,Engine Coolant Temperature of Right Engine,NULL,?,C,Y,8,1,-40,CoolantWaterTemp (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00075,Intake Manifold Temperature 1 of Right Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 1(Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00076,Intake Manifold Temperature 2 of Right Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 2(Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00235,Intake Manifold Temperature 3 of Right Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 3(Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00236,Intake Manifold Temperature 4 of Right Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 4(Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00065,Engine Oil Pressure of Right Engine,NULL,?,KPA,Y,8,1,0,EngOilPress (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00066,Engine Oil Temperature of Right Engine,NULL,?,C,Y,16,1,-273,EngOilTemp (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00088,Engine Speed of Right Engine,NULL,?,RPM,Y,16,1,0,EngSpeed (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00070,Boost Pressure1 of Right Engine (Left Bank),NULL,?,KPA,Y,8,1,0,Boost Pressure1 (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00071,Boost Pressure2 of Right Engine (Right Bank),NULL,?,KPA,Y,8,1,0,Boost Pressure2 (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
267,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN08006,Oil Cooler Inlet Pressure,NULL,?,MPA,Y,8,1,0,Oil Cooler Inlet Pressure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
268,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN08008,Oil Cooler Fan Motor Negative Control Pressure #1,NULL,?,MPA,Y,8,1,0,Oil Cooler Fan Motor Negative Control Pressure #1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
269,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN08010,Oil Cooler Fan Motor Negative Control Pressure #2,NULL,?,MPA,Y,8,1,0,Oil Cooler Fan Motor Negative Control Pressure #2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN08011,Oil Cooler Fan Motor Negative Control Current #1,NULL,?,MAMPS,Y,16,1,0,Oil Cooler Fan Motor Negative Control Current #1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
271,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN08012,Oil Cooler Fan Motor Negative Control Current #2,NULL,?,MAMPS,Y,16,1,0,Oil Cooler Fan Motor Negative Control Current #2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN12036,Gate Lock Lever Sw,NULL,?,STATE,Y,2,1,0,Gate Lock Lever Sw,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01053,Contamination Sw #4 of Left Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #4 of Left Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01052,Contamination Sw #3 of Left Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #3 of Left Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01051,Contamination Sw #2 of Left Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #2 of Left Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01050,Contamination Sw #1 of Left Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #1 of Left Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01057,Contamination Sw #8 of Left Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #8 of Left Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01056,Contamination Sw #7 of Left Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #7 of Left Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01055,Contamination Sw #6 of Left Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #6 of Left Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01054,Contamination Sw #5 of Left Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #5 of Left Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01061,Contamination Sw #4 of Right Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #4 of Right Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01060,Contamination Sw #3 of Right Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #3 of Right Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01059,Contamination Sw #2 of Right Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #2 of Right Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01058,Contamination Sw #1 of Right Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #1 of Right Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01065,Contamination Sw #8 of Right Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #8 of Right Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01064,Contamination Sw #7 of Right Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #7 of Right Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01063,Contamination Sw #6 of Right Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #6 of Right Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01062,Contamination Sw #5 of Right Pump,NULL,?,STATE,Y,2,1,0,Contamination Sw #5 of Right Pump,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN03009,Contamination Sw #4 of Swing Motor,NULL,?,STATE,Y,2,1,0,Contamination Sw #4 of Swing Motor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
290,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN03008,Contamination Sw #3 of Swing Motor,NULL,?,STATE,Y,2,1,0,Contamination Sw #3 of Swing Motor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN03007,Contamination Sw #2 of Swing Motor,NULL,?,STATE,Y,2,1,0,Contamination Sw #2 of Swing Motor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN03006,Contamination Sw #1 of Swing Motor,NULL,?,STATE,Y,2,1,0,Contamination Sw #1 of Swing Motor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN01066,Contamination Sw of Travel Motor,NULL,?,STATE,Y,2,1,0,Contamination Sw of Travel Motor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00044,Ambient Air Temperature,NULL,?,C,Y,8,1,-40,AmbientTemp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00035,Battery voltage,NULL,?,VOLTS,Y,16,1,0,Battery voltage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN07000,Hydraulic Oil Tank Temperature,NULL,?,C,Y,8,1,-40,HydOilTankTemp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN15039,Fuel Level Gauge,NULL,?,STATE,Y,8,1,0,FuelGauge,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00006,Engine Coolant Temperature of Left Engine,NULL,?,C,Y,8,1,-40,CoolantWaterTemp (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00021,Intake Manifold Temperature 1 of Left Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 1(Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00022,Intake Manifold Temperature 2 of Left Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 2(Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00231,Intake Manifold Temperature 3 of Left Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 3(Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00232,Intake Manifold Temperature 4 of Left Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 4(Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00011,Engine Oil Pressure of Left Engine,NULL,?,KPA,Y,8,1,0,EngOilPress (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00012,Engine Oil Temperature of Left Engine,NULL,?,C,Y,16,1,-273,EngOilTemp (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00046,Engine Speed of Left Engine,NULL,?,RPM,Y,16,1,0,EngSpeed (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00016,Boost Pressure1 of Left Engine (Left Bank),NULL,?,KPA,Y,8,1,0,Boost Pressure1 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00017,Boost Pressure2 of Left Engine (Right Bank),NULL,?,KPA,Y,8,1,0,Boost Pressure2 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00120,Exhaust Temperature #1 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #1 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00121,Exhaust Temperature #2 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #2 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00122,Exhaust Temperature #3 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #3 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00123,Exhaust Temperature #4 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #4 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00124,Exhaust Temperature #5 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #5 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00125,Exhaust Temperature #6 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #6 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00126,Exhaust Temperature #7 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #7 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00127,Exhaust Temperature #8 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #8 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00128,Exhaust Temperature #9 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #9 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00129,Exhaust Temperature #10 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #10 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00130,Exhaust Temperature #11 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #11 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00131,Exhaust Temperature #12 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #12 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00132,Exhaust Temperature #13 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #13 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00133,Exhaust Temperature #14 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #14 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00134,Exhaust Temperature #15 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #15 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00135,Exhaust Temperature #16 of Left engine,NULL,?,C,Y,16,1,-273,Exhaust Temperature #16 (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,2EC2F491-8AD2-4D6B-A5FC-673B2B0551BC,SPN00060,Engine Coolant Temperature of Right Engine,NULL,?,C,Y,8,1,-40,CoolantWaterTemp (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN00044,Ambient Air Temperature,NULL,?,C,Y,8,1,-40,AmbientTemp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN00035,Battery voltage,NULL,?,VOLTS,Y,16,1,0,Battery voltage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN07000,Hydraulic Oil Tank Temperature,NULL,?,C,Y,8,1,-40,HydOilTankTemp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN19020,Main Motor Current of  Left Unit,NULL,?,AMPS,Y,16,1,0,Main Motor Current (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN19022,Main Motor Coil Temperature of Left Unit,NULL,?,C,Y,16,1,-3200,Main Motor Coil Temperature (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN19026,Main Motor Voltage of Left Unit,NULL,?,VOLTS,Y,16,1,0,Main Motor Voltage (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN19021,Main Motor Current of  Right Unit,NULL,?,AMPS,Y,16,1,0,Main Motor Current (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN19023,Main Motor Coil Temperature of Right Unit,NULL,?,C,Y,16,1,-3200,Main Motor Coil Temperature (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN19027,Main Motor Voltage of Right Unit,NULL,?,VOLTS,Y,16,1,0,Main Motor Voltage (Right),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN11064,Left Travel Forward Operation Ratio,NULL,?,PERCENT,Y,8,1,0,Left Travel Forward Operation Ratio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN11066,Left Travel Backward Operation Pressure,NULL,?,MPA,Y,8,1,0,Left Travel Backward Operation Pressure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN11069,Left Travel Backward Operation Ratio,NULL,?,PERCENT,Y,8,1,0,Left Travel Backward Operation Ratio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN12041,Boom Raise 2 Pressure  (EX8000-6BH Only),NULL,?,MPA,Y,8,1,0,Boom Raise 2 Pressure  (EX8000-6BH Only),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN12043,Boom Raise 2 Current  (EX8000-6BH Only),NULL,?,MAMPS,Y,16,1,0,Boom Raise 2 Current  (EX8000-6BH Only),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN12057,Bucket Roll-In 2 Pressure  (EX8000-6BH Only),NULL,?,MPA,Y,8,1,0,Bucket Roll-In 2 Pressure  (EX8000-6BH Only),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,7FFE19C3-F1F1-477C-8B52-3204DE03F142,SPN12059,Bucket Roll-In 2 Current  (EX8000-6BH Only),NULL,?,MAMPS,Y,16,1,0,Bucket Roll-In 2 Current  (EX8000-6BH Only),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
